run,type,module,name,attrname,attrvalue,value
General-13-20260516-23:26:30-3656,runattr,,,configname,General,
General-13-20260516-23:26:30-3656,runattr,,,datetime,20260516-23:26:30,
General-13-20260516-23:26:30-3656,runattr,,,datetimef,20260516-232630,
General-13-20260516-23:26:30-3656,runattr,,,experiment,General,
General-13-20260516-23:26:30-3656,runattr,,,inifile,n100-gw1.ini,
General-13-20260516-23:26:30-3656,runattr,,,iterationvars,"$0=""avg""",
General-13-20260516-23:26:30-3656,runattr,,,iterationvarsd,avg,
General-13-20260516-23:26:30-3656,runattr,,,iterationvarsf,avg-,
General-13-20260516-23:26:30-3656,runattr,,,measurement,"$0=""avg""",
General-13-20260516-23:26:30-3656,runattr,,,network,flora.simulations.LoRaNetworkTest,
General-13-20260516-23:26:30-3656,runattr,,,processid,3656,
General-13-20260516-23:26:30-3656,runattr,,,repetition,13,
General-13-20260516-23:26:30-3656,runattr,,,replication,#13,
General-13-20260516-23:26:30-3656,runattr,,,resultdir,results,
General-13-20260516-23:26:30-3656,runattr,,,runnumber,13,
General-13-20260516-23:26:30-3656,runattr,,,seedset,13,
General-13-20260516-23:26:30-3656,config,,,image-path,../../../inet4.4/images,
General-13-20260516-23:26:30-3656,config,,,network,flora.simulations.LoRaNetworkTest,
General-13-20260516-23:26:30-3656,config,,,output-vector-file,../results/n100-gw1-s13.ini.vec,
General-13-20260516-23:26:30-3656,config,,,**.maxTransmissionDuration,4s,
General-13-20260516-23:26:30-3656,config,,,**.energyDetection,-110dBm,
General-13-20260516-23:26:30-3656,config,,,**.vector-recording,true,
General-13-20260516-23:26:30-3656,config,,,rng-class,cMersenneTwister,
General-13-20260516-23:26:30-3656,config,,,**.loRaGW[*].numUdpApps,1,
General-13-20260516-23:26:30-3656,config,,,**.loRaGW[0].packetForwarder.localPort,2000,
General-13-20260516-23:26:30-3656,config,,,**.loRaGW[0].packetForwarder.destPort,1000,
