run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20260518-19:23:44-10624,runattr,,,configname,General,,
General-0-20260518-19:23:44-10624,runattr,,,datetime,20260518-19:23:44,,
General-0-20260518-19:23:44-10624,runattr,,,datetimef,20260518-192344,,
General-0-20260518-19:23:44-10624,runattr,,,experiment,General,,
General-0-20260518-19:23:44-10624,runattr,,,inifile,n100-gw1.ini,,
General-0-20260518-19:23:44-10624,runattr,,,iterationvars,"$0=""avg""",,
General-0-20260518-19:23:44-10624,runattr,,,iterationvarsd,avg,,
General-0-20260518-19:23:44-10624,runattr,,,iterationvarsf,avg-,,
General-0-20260518-19:23:44-10624,runattr,,,measurement,"$0=""avg""",,
General-0-20260518-19:23:44-10624,runattr,,,network,flora.simulations.LoRaNetworkTest,,
General-0-20260518-19:23:44-10624,runattr,,,processid,10624,,
General-0-20260518-19:23:44-10624,runattr,,,repetition,0,,
General-0-20260518-19:23:44-10624,runattr,,,replication,#0,,
General-0-20260518-19:23:44-10624,runattr,,,resultdir,results,,
General-0-20260518-19:23:44-10624,runattr,,,runnumber,0,,
General-0-20260518-19:23:44-10624,runattr,,,seedset,0,,
General-0-20260518-19:23:44-10624,config,,,image-path,../../../inet4.4/images,,
General-0-20260518-19:23:44-10624,config,,,network,flora.simulations.LoRaNetworkTest,,
General-0-20260518-19:23:44-10624,config,,,output-vector-file,../results/n100-gw1-s0.ini.vec,,
General-0-20260518-19:23:44-10624,config,,,**.maxTransmissionDuration,4s,,
General-0-20260518-19:23:44-10624,config,,,**.energyDetection,-110dBm,,
General-0-20260518-19:23:44-10624,config,,,rng-class,cMersenneTwister,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[*].numUdpApps,1,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[0].packetForwarder.localPort,2000,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[0].packetForwarder.destPort,1000,,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",,
General-0-20260518-19:23:44-10624,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.numApps,1,,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.**.evaluateADRinServer,false,,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.app[0].typename,NetworkServerApp,,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.app[0].destAddresses,"""loRaGW[0]""",,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.app[0].destPort,2000,,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.app[0].localPort,1000,,
General-0-20260518-19:23:44-10624,config,,,**.networkServer.app[0].adrMethod,"""avg""",,
